OBJECTID,LABEL,AREA_M2,AREA_HA,Shape_Length,Shape_Area
1,Rangiora Clean Air Zone,51256407.955517,5125.64079555,33544.9263412159,51256407.955517
2,Ashburton / Hakatere Clean Air Zone,42487636.2178395,4248.76362178,39573.5779409536,42487636.2178395
3,Kaiapoi Clean Air Zone,34336099.0573054,3433.60990573,26271.6553337174,34336099.0573054
4,Christchurch / Ōtautahi Clean Air Zone,438182208.774218,43818.22087742,127613.997130408,438182208.774218
5,Waimate / Waimatemate Clean Air Zone,11837520.618646,1183.75206186,17183.6144136089,11837520.618646
6,Geraldine/ Raukapuka Clean Air Zone,9409837.72217632,940.98377222,17057.4668432853,9409837.72217632
7,Timaru / Te Tihi-o-Maru Clean Air Zone,31213900.5730687,3121.39005731,35358.0617583609,33022168.7441606
